genre,name,artists_name,album_name,album_release_date,duration_ms,popularity,track_number,uri
k_pop,LOSER,BIGBANG,MADE,2016-12-13,219370,67,5,spotify:track:2vzn8usBcuNL93DnTjEK0z
k_pop,LOVE ME RIGHT,EXO,LOVE ME RIGHT - The 2nd Album Repackage,2015-06-03,205128,65,1,spotify:track:1kFevEv3s7Gf6o5xSDR5DL
k_pop,Overdose,EXO-K,Overdose - The 2nd Mini Album,2014-08-06,205611,63,1,spotify:track:5NSPsOGVNWYOMeeyZPF7HY
k_pop,"무제(無題) (Untitled, 2014)",G-DRAGON,KWON JI YONG,2017-06-08,222867,69,4,spotify:track:16BS342F89MDqouSxgLaUK
k_pop,Don't Wanna Cry,SEVENTEEN,SEVENTEEN 4th Mini Album ‘Al1’,2017-05-22,203426,66,1,spotify:track:6Upu6yjkdi0DVI8E3IBZEU
k_pop,Intro: Never Mind,BTS,The Most Beautiful Moment in Life Pt.2,2015-11-30,136428,56,1,spotify:track:6JbPyMiLnWaaKusic64bCq
k_pop,Love Is Not Over (Full Length Edition),BTS,The Most Beautiful Moment in Life: Young Forever,2016-05-02,221619,59,6,spotify:track:12MGUs7yIus6sU09ekZMjw
k_pop,My House,2PM,No.5,2015-06-15,187644,59,1,spotify:track:2r5505nza3oqcjWVlOEb77
k_pop,Some,BOL4,Red Diary Page.1,2017-09-28,181373,70,1,spotify:track:3jsYQw78lrxJA2ysnmOIf9
k_pop,ZUTTER (GD&T.O.P),BIGBANG,MADE,2016-12-13,194435,60,10,spotify:track:6ePbs5ln6NGmMMuA6DrSaQ
k_pop,I Have Been to the Mountain,Kevin Morby,Singing Saw,2016-04-15,194186,52,2,spotify:track:2umTklGNx0IiiTFFVNZNlC
k_pop,Hip Hop Phile,BTS,Dark & Wild,2014-08-20,257299,58,4,spotify:track:4c9XojqJDu7KNCh8GmNbj5
k_pop,Something,Girl's Day,Girl's Day Love Second Album,2015-07-07,200705,62,9,spotify:track:3xHIyErJUeuy0MpjUKRuPw
k_pop,BTS Cypher Pt.2: Triptych,BTS,Skool Luv Affair,2014-02-12,288771,57,7,spotify:track:41eoHn3yTDYMV9hFn50ef4
k_pop,Adventure,Izzamuzzic,Adventure,2016-04-22,319303,54,1,spotify:track:0nh7musv1SfjMkXaIkHBqK
k_pop,Embarrassed,BTS,Dark & Wild,2014-08-20,241761,59,10,spotify:track:3eSPLTR9JtKiT1X4sAkTg8
k_pop,You Were Beautiful,DAY6,SUNRISE,2017-06-07,283160,68,13,spotify:track:3FR2yqZsG07NhXz7uPyUyC
k_pop,Say Yes,"Loco, Punch","Moonlovers - Scarlet Heart Ryeo (Original Television Soundtrack), Pt. 2",2016-08-29,218897,71,1,spotify:track:27zrFrtUtWl2urlvjOn5xc
k_pop,Interlude: Wings,BTS,Wings,2016-10-10,144313,58,15,spotify:track:6dNOlenVY8vp29pkMZOd7c
k_pop,Once Again,"Mad Clown, Kim Na Young",Descendants Of The Sun Pt.5 (Original Television Soundtrack),2016-03-17,235727,66,1,spotify:track:1qsjEmjRzXVsmC0oLitHzN
k_pop,Multi-Love,Unknown Mortal Orchestra,Multi-Love,2015-05-26,250800,59,1,spotify:track:1XKAeevAbxSSMuTcRT0APS
k_pop,HER,Block B,HER,2014-07-24,179053,60,2,spotify:track:4jQDaI7FRGaDB0llURpnNf
k_pop,Up & Down,EXID,AH YEAH,2015-04-14,189882,61,6,spotify:track:6BKOhvRPY54uvfqWwg7MKi
k_pop,Black (Feat. JENNIE of BLACKPINK),"G-DRAGON, JENNIE",COUP D'ETAT (Korean Version),2013-09-05,203772,68,4,spotify:track:44f1TNdoQUgf3PUYraCTsH
k_pop,"Intro: O!RUL8,2?",BTS,"O!RUL8,2?",2013-09-11,70531,57,1,spotify:track:3FdanLGasOj37Xi316GfZ4
k_pop,A Supplementary Story: You Never Walk Alone,BTS,You Never Walk Alone,2017-02-13,156060,58,18,spotify:track:2ZbYyDM0pacTwP2odNsdlo
k_pop,Rollin',Brave Girls,Rollin',2017-03-07,197746,62,1,spotify:track:6SQUopvuZyrWYjYayxxSXl
k_pop,Outro: Luv in Skool,BTS,"O!RUL8,2?",2013-09-11,86044,56,10,spotify:track:2ZiVvIvwAwNRL4dUO3TaF6
k_pop,It's You,HENRY,"While You Were Sleeping, Pt. 2 (Original Television Soundtrack)",2017-10-04,231001,65,1,spotify:track:61OtYav1fiUCr73JwZD2Sb
k_pop,Catallena,Orange Caramel,THE THIRD SINGLE CATALLENA,2014-03-12,193153,58,1,spotify:track:5fWKr5p15BTazjflJ6HX5j
k_pop,You Are My Everything,GUMMY,Descendants Of The Sun Pt.4 (Original Television Soundtrack),2016-03-10,240590,65,1,spotify:track:4s80CRYk3rRPZE56NvmFi7
k_pop,Dumb Dumb,Red Velvet,The Red - The 1st Album,2015-09-09,202543,60,1,spotify:track:64iDjAuWDogVhuoWhKklF9
k_pop,REALLY REALLY,WINNER,FATE NUMBER FOR,2017-04-04,203056,62,1,spotify:track:4iJyTp1KwCeBKhf7h0SwsD
k_pop,Silver Spoon,BTS,The Most Beautiful Moment in Life: Young Forever,2016-05-02,233184,57,8,spotify:track:5PRJlVG1c2JNa85mFoGARM
k_pop,Whiplash,NCT 127,NCT #127 CHERRY BOMB - The 3rd Mini Album,2017-06-14,201658,62,5,spotify:track:2iPxDFeN27VrKgGdZ0AIKw
k_pop,Round And Round,"Heize, Han Suji","Guardian (Original Television Soundtrack), Pt. 14",2017-01-21,201658,60,1,spotify:track:3vAncbML0jhNrp63DKhsCo
k_pop,Everytime,"CHEN, Punch",Descendants Of The Sun Pt.2 (Original Television Soundtrack),2016-02-25,189355,68,1,spotify:track:1D6lK8qADoErTTLkY4YBfM
k_pop,Moving On,BTS,The Most Beautiful Moment in Life Pt.1,2015-04-29,292569,56,8,spotify:track:0jo4304s0u51JHHCv7it9K
k_pop,View,SHINee,Odd - The 4th Album,2015-05-18,190821,59,3,spotify:track:46E1ic6n099e76t5J1TbHn
k_pop,Hush,miss A,Hush,2013-11-06,186799,59,2,spotify:track:3jb7gznZVfqyMQGJo4hzG2
k_pop,Miss Right,BTS,Skool Luv Affair (Special Addition),2014-05-14,241374,57,1,spotify:track:1ht2uYq91yLc9S6IxwiwCK
k_pop,Hard Carry,GOT7,FLIGHT LOG : TURBULENCE,2016-09-27,193578,59,2,spotify:track:0QJk64Xo6tdXNjXg4RnqpI
k_pop,Uma Chance,"Djodje, Ricky Boy, Loony Johnson",Uma Chance,2014-08-16,256444,55,1,spotify:track:4AIPloJ5LE4UvuNfZN4SPS
k_pop,행복 (Happiness),Red Velvet,행복(Happiness),2014-08-01,220986,57,1,spotify:track:6XP9L7di5JnOc9WaeAW8oe
k_pop,Energetic,Wanna One,1-1=0 (NOTHING WITHOUT YOU),2017-11-13,189355,62,8,spotify:track:3NkkcnnKrNHv4AiGaPdD76
k_pop,The First Snow,EXO,Miracles in December,2013-12-09,207667,64,5,spotify:track:2VNpT9fRk1kyksT0S4coZR
k_pop,풀어,"DEAN, ZICO",130 Mood : TRBL,2016-03-25,211972,60,2,spotify:track:2p980qlVXYLh3HdHusbhfa
k_pop,LAST DANCE,BIGBANG,MADE,2016-12-13,279655,65,2,spotify:track:7ijWcf4FsoxoyPK4B9WGp6
k_pop,Não Me Toca,Anselmo Ralph,O Melhor de Anselmo Ralph,2014-12-03,265186,56,16,spotify:track:1rEv3IHmYm74W9InCvRfoV
k_pop,ALWAYS,YOON MIRAE,Descendants Of The Sun Pt.1 (Original Television Soundtrack),2016-02-18,205192,64,1,spotify:track:4LsMjCB4qt4RnWcJBiHrA6
k_pop,To My Youth,BOL4,Red Diary Page.1,2017-09-28,222680,65,5,spotify:track:4gMPlHHAjOQnUrhsuqHivn
k_pop,NAVILLERA,GFRIEND,LOL,2016-07-11,193579,61,3,spotify:track:23wVB9x79s921M2Bbu2SB3
k_pop,D (Half Moon),"DEAN, Gaeko",130 Mood : TRBL,2016-03-25,229359,63,5,spotify:track:3uA8SjMyDtwtt0jLPMQbVD
k_pop,Adore U,SEVENTEEN,SEVENTEEN 1st Mini Album ’17 CARAT’,2015-05-29,186649,62,2,spotify:track:6wtgR5ZVbOZPHIeMNQwugp
k_pop,24 Hours,SUNMI,24 Hours,2013-08-26,201590,56,1,spotify:track:4ayWErdGIvSo4o6a3lMVLt
k_pop,Pray (I'll be your man),BTOB,NEW MEN,2016-11-07,219917,56,2,spotify:track:1wpshV27JxfmAApoclaNAh
k_pop,RHYTHM TA,iKON,WELCOME BACK,2015-11-16,226970,58,4,spotify:track:5T7NN5LxcfMEudEbya2wcE
k_pop,MIC Drop (feat. Desiigner) [Steve Aoki Remix],"BTS, Desiigner, Steve Aoki",MIC Drop (feat. Desiigner) [Steve Aoki Remix],2017-11-24,238726,57,1,spotify:track:6XxpvCj3eLWs3lYowSgC4G
k_pop,Outro: Love Is Not Over,BTS,The Most Beautiful Moment in Life Pt.1,2015-04-29,143862,55,9,spotify:track:0hwev90tfswBoZmgKnJ9F8
k_pop,This Love,DAVICHI,Descendants Of The Sun Pt.3 (Original Television Soundtrack),2016-03-03,225171,67,1,spotify:track:1mh5s6XJ3RLJBRPErACsHW
