genre,name,artists_name,album_name,album_release_date,duration_ms,popularity,track_number,uri
reggae,Me Reclama,"Mambo Kingz, DJ Luian, Luigi 21 Plus, Ozuna",Me Reclama,2016-01-23,187492,73,1,spotify:track:4ojwGTehgBRAg52jbFgzJg
reggae,Vas a Querer Volver (feat. Neñgo Flow),"Jon Z, Ñengo Flow",Vas a Querer Volver (feat. Neñgo Flow),2017-03-31,276768,71,1,spotify:track:1WDDZngXuT5o8ePqXeNtvM
reggae,Rude,MAGIC!,Don't Kill the Magic,2014-06-25,224840,85,1,spotify:track:6RtPijgfPKROxEzTHNRiDp
reggae,Sígueme Y Te Sigo,Daddy Yankee,Sígueme Y Te Sigo,2015-03-12,209786,70,1,spotify:track:7F7kL3i6SDEIbDcoJZGiig
reggae,"Soldado Y Profeta (feat. Ozuna, Almighty, Kendo & Ñengo Flow)","Anuel AA, Ozuna, Almighty, Kendo Kaponi, Ñengo Flow","Soldado Y Profeta (Remix) [feat. Ozuna, Almighty, Kendo & Ñengo Flow]",2016-01-31,512636,69,1,spotify:track:6OIePp3zOPV4OubtVTyJJ8
reggae,Solo,"Amenazzy, Lary Over",Solo,2017-09-19,231909,73,1,spotify:track:6kTMnty169llVx9sGHb6LD
reggae,Caribe Hilton,"Lary Over, Bryant Myers",Caribe Hilton,2016-06-22,215481,60,1,spotify:track:76x9eNlXAkiRdTYT5qcZYQ
reggae,Por Qué Sigues con Él - Remix,"Bryant Myers, KEVIN ROLDAN",Por Qué Sigues con Él (Remix),2016-07-12,191750,69,1,spotify:track:0FkrgysIRNpOMXl91azJzp
reggae,Explícale (feat. Bad Bunny),"Yandel, Bad Bunny",#Update,2017-09-08,223146,73,14,spotify:track:1LszjjoVwDDZcWUQbzeDLG
reggae,Adrenalina (feat. Jennifer Lopez & Ricky Martin),"Wisin, Jennifer Lopez, Ricky Martin",El Regreso del Sobreviviente (Deluxe Edition),2014-03-18,235546,67,3,spotify:track:2eqDUxbd0JPEhNrJdPlHLs
reggae,Mi Reina,Henry Mendez,Dale Mambo,2014-06-03,191245,57,10,spotify:track:5pl6anmN4tr564vO53AxBv
reggae,Volverte A Ver (feat. Anuel Aa & Bryant Myers),Nio Garcia,Volverte A Ver (feat. Anuel Aa & Bryant Myers),2016-03-04,265767,69,1,spotify:track:5nmjKirANXdwZk5HcpmmNH
reggae,El Amante,Nicky Jam,Fénix,2017-01-20,219506,74,5,spotify:track:3umS4y3uQDkqekNjVpiRUs
reggae,Escápate Conmigo (feat. Ozuna),"Wisin, Ozuna",Victory,2017-12-01,232786,76,13,spotify:track:1KSqYYJFyfTecXFk9M0prc
reggae,Te Encontre,El Vega,Versatilidad & Vivencias (Deluxe Edition),2017-11-17,209960,72,1,spotify:track:2kP6fOqdSQ5CYqVH5z5844
reggae,Tú Foto,Ozuna,Odisea,2017-08-25,193226,75,2,spotify:track:5zSOVwaY3sVjnmLhuEfsuf
reggae,Ahora Me Llama,"KAROL G, Bad Bunny",Unstoppable,2017-10-27,235226,71,6,spotify:track:0alSPoUfrGb0RdVVG4Lf3n
reggae,Choca,Plan B,Love And Sex,2014-08-25,220986,66,2,spotify:track:1hiKRqR0jox7OI7aweq7Sj
reggae,Hace Mucho Tiempo,Arcángel,"Sentimiento, Elegancia Y Maldad",2013-11-19,171226,74,2,spotify:track:0a6ogDrZBvYgDjILgsQVaJ
reggae,Me Acostumbre (feat. Bad Bunny),"Arcángel, Bad Bunny",Me Acostumbre (feat. Bad Bunny),2017-04-11,263288,73,1,spotify:track:2FIm6YsSGL5acOqSuJDh5s
reggae,Hoy (feat. Bad Bunny),"Ñengo Flow, Bad Bunny",Real G4 Life Vol. 3,2017-02-10,234271,69,10,spotify:track:1BssJgelMGDNOeIy7ZqgOW
reggae,Orgullo,Justin Quiles,Orgullo,2014-01-16,200986,65,1,spotify:track:7ca2Td5BdpuTXKpSPS0exv
reggae,"Un Polvo (feat. Bad Bunny, Arcángel, Ñengo Flow & De La Ghetto)","Maluma, Bad Bunny, Arcángel, Ñengo Flow, De La Ghetto","Un Polvo (feat. Bad Bunny, Arcángel, Ñengo Flow & De La Ghetto)",2016-11-16,306373,73,1,spotify:track:01vHGJRvJ6EZW9KO8NtZpi
reggae,6 AM,"J Balvin, Farruko",La Familia,2013-07-15,243226,74,5,spotify:track:7mPwkbaoiQ5bf8FPbRJzUr
reggae,Viejos Tiempos,Bryant Myers,Viejos Tiempos,2017-10-27,246440,62,1,spotify:track:6cXA9ANnynpmWaO2OVqoET
reggae,Ayer,"DJ Nelson, Anuel AA",Ayer,2017-03-31,280000,67,1,spotify:track:67LNc70FgGcKHgRQtn3o33
reggae,Otra vez (feat. J Balvin),"Zion & Lennox, J Balvin",Motivan2,2016-09-30,209453,75,7,spotify:track:3QwBODjSEzelZyVjxPOHdq
reggae,Picky,Joey Montana,Picky Back To The Roots,2016-09-09,182746,68,1,spotify:track:4tPL9PeVZY4c0jUPtSD5nx
reggae,Lejos de Aquí,Farruko,Farruko Presents Los Menores,2016-02-22,221735,70,3,spotify:track:7fzErW0dRVRaTWjNLPFwUn
